id,job_hash,fetch_date,portal,search_keyword,job_title,company_name,location,remote_type,salary_range,experience_years,tech_stack,posted_date,job_description,description_length,roles_responsibilities,requirements_section,apply_link,hr_email,job_id,visa_sponsorship,validation_score,validation_status,ai_summary,ai_model_used,extraction_attempts
7b75ac95-5dde-4d51-aa03-bc4f6a1c9c45,cda3327e137cf40fe23b1e8c590a2a3c,2026-08-26,RemoteOK,Data Engineer,COSTING ENGINEER,Larsen &amp; Toubro,"Coimbatore South, ",Not specified,,Not specified,,2026-08-19T12:46:47+00:00,"Role Summary   The  Costing Engineer â Jigs &amp; Fixtures  is responsible for the end-to-end financial estimation of specialized tooling required for electronic assembly lines. This role involves analyzing technical drawings, calculating manufacturing costs for custom parts, and budgeting for complex automation components. The goal is to provide accurate ""Should-Cost"" models that ensure high-quality assembly solutions are delivered within budget.   Core Responsibilities      Component &amp; Material Estimation    Fabricated Parts: Calculate costs for metallic (Al, SS) and non-metallic (ESD plastics, Delrin) parts by evaluating material weight, machining cycles (CNC/VMC), and finishing processes.    Bought-Out Items: Source and maintain price benchmarks for:    Mechanical: Bearings, linear rails, and precision slide ways.    Pneumatics: Cylinders, DCV valves, and manifold systems.    Automation: PLCs, sensors (proximity/optical), magnets, and HMI units.    Electrical: Push buttons, switches, wiring harnesses, and connectors.     Assembly &amp; Validation Costing    Estimate man-hours for mechanical assembly, pneumatic plumbing, and electrical wiring.    Factor in costs for fixture testing, calibration, and $Cpk/Ppk$ validation runs.    Strategic Financial Analysis    Conduct Make vs. Buy analyses for custom fixture components.    Perform Value Engineering (VA/VE) to suggest lower-cost alternatives for non-critical parts without sacrificing precision or safety.    Maintain a live database of vendor quotes and historical cost data.     Technical Requirements      Education: B.E./B.Tech in Mechanical, Mechatronics, or Production Engineering.    Experience: 3â5 years in costing, specifically within high-precision tooling or electronics assembly.    Software Proficiency: * Advanced MS Excel (Macro/Pivot tables) and ERP systems (SAP/Oracle).    Ability to view and measure parts using CAD software (SolidWorks/AutoCAD).     Process Knowledge: Deep understanding of milling, turning, grinding, and surface treatments.      KEY PERFORMANCE INDICATORS (KPIs)       Estimation Accuracy: Variance between estimated cost and actual procurement cost.    Turnaround Time: Speed of providing quotes for new assembly line projects.    Cost Savings: Success in identifying 5-10 %$ annual savings through Value Engineering.       BEHAVIORAL COMPETENCIES       High attention to detail (zero-error mindset).    Strong negotiation skills for dealing with external vendors.    Ability to collaborate effectively between Design, Procurement, and Finance teams.    Please mention the word **ENERGIZE** and tag RMTcyLjIxNS4yMTcuMTky when applying to show you read the job post completely (#RMTcyLjIxNS4yMTcuMTky). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",353,,,https://remoteOK.com/remote-jobs/remote-costing-engineer-larsen-amp-toubro-1137012,,1137012,False,50,Partial,,none,3
1948103b-d780-402f-9eb8-f6cc571a61e9,4f8978f296607196318f7576be1325eb,2026-08-26,RemoteOK,Data Engineer,Data Analyst,SEAhub Asia,"Kuala Lumpur, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Not specified,,Not specified,,2026-08-04T14:20:29+00:00,"Build What's Next With Us   At SEAhub Asia, your career isn't just a job â it's a launchpad.  We move fast, think big, and build futures together.  What's waiting for you here?   Remote-first roles built for freedom and flexibility    Learning &amp; Development That Sharpens Skills And Accelerates Careers    Competitive salary packages for high performers    Wellbeing perks that help you thrive inside and outside work    A team that supports, celebrates, and wins as one   and we're just getting started.  We're growing across Southeast Asia â and we're searching for sharp minds, big thinkers and curious hearts ready to help us build what's next. learners, and big thinkers who want to create what's next.  If you're ready to make a real impact and grow with a future-ready team,  your next chapter starts here.    Job Summary   Support the Data Analytics team by assisting with data validation, report generation, and basic analysis to help ensure data accuracy and enable informed business decision-making.    Responsibilities:     Reporting, Analysis &amp; Insight Communication   Prepare reports and perform data analysis to support data-driven decision-making  Monitor key business performance metrics to identify trends, patterns, and anomalies  Assist in building and maintaining dashboards and reports for performance tracking  Communicate data insights to stakeholders in a clear, concise, and actionable way    Data Quality &amp; Validation   Support the validation and upkeep of data accuracy across dashboards and data pipelines    Cross-Team Collaboration   Respond to data requests from cross-functional teams, including coordinating requirements and providing basic analytical support    Process Improvement &amp; Documentation   Document data processes and workflows, and contribute to improving existing data practices and standards  Explore and apply new tools and methods to enhance the efficiency and quality of data work    Ad-Hoc Analytical Projects   Assist with ad-hoc data tasks and analytical projects as needed       Requirements:     0â1 year of experience in data analysis or a related field.  Foundational knowledge of SQL, Excel, and data visualization platforms such as Power BI or Tableau.  Exposure to Python for data analysis is an added advantage.  Highly detail-oriented with a strong focus on maintaining data quality and accuracy.  Strong communication skills with the ability to present findings and insights clearly.  Demonstrates a proactive mindset and willingness to learn new tools, technologies, and analytical techniques.  Well-organized, with the ability to prioritize and manage multiple tasks effectively.     Don't miss out on this exciting opportunity! Apply now at www.seahubasia.com.  Please mention the word **BRIGHTEST** and tag RMTMuODMuMTYxLjIy when applying to show you read the job post completely (#RMTMuODMuMTYxLjIy). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",429,,,https://remoteOK.com/remote-jobs/remote-data-analyst-seahub-asia-1136222,,1136222,False,50,Partial,,none,3
9aac0601-a2da-483a-b1ec-8d7b44e89c6d,9d6aecd3a568362c978826b77bb7ca1b,2026-08-26,RemoteOK,Data Engineer,Data Analyst,Sparksoft Corporation,"Columbia, Columbia, Maryland, United States",Not specified,,Not specified,,2026-07-30T16:31:19+00:00,"Join us at Sparksoft, where we're not just another tech companyâwe're a catalyst for change. Our mission isn't just to offer IT solutions; it's to revolutionize the way you work. Here, passion isn't just a buzzword; it's the fuel behind groundbreaking ideas and transformative technologies. We serve a wide range of government clients, delivering impact that's felt across the nation.  Our true strength lies in our people. They're the problem-solvers and innovators consistently delivering extraordinary outcomes. With Sparksoft, you're not stepping into a routine job; you're joining a team committed to innovation and excellence. Our innovation extends beyond just delivering projects. Through our specialized Innovation Centers, we continuously refine our methods, ensuring we remain industry leaders.  We are Sparksoft!   ROLE &amp; RESPONSIBILITIES:    The Data Analyst will be part of a team supporting all phases of the design, development and implementation of a program supporting CMS. Will participate in design sessions, report on project progress, and identify potential risks and issues. The Data Analyst will also be responsible for providing technical direction and guidance to support the data warehouse application process for multiple stakeholders and continuous process improvement in managing and processing data efficiently. Responsible for analyzing and interpreting complex data sets and queries to assist in decision-making. The analyst will have experience with data validation to support regular and ad hoc data requests.    Assists users in analyzing and interpreting complex data sets and queries to assist in decision-making  Evaluates data anomalies to ensure data quality  Performs ad hoc data analysis for predictive analytics and fraud analytics using machine learning   Provides guidance for Development and O&amp;M database engineers  Experience with big data platform and building data-driven applications using Scala, Python and Java   Supports the program in the collection, validation, and reporting of metrics  Provide data collection, verification, and analysis for reporting  Analyze, evaluate, and recommend processes to best support customer programs  Advanced Excel expertise required including use of pivot tables, formulas, conditional formatting, etc.  Review and understand artifacts related to data ingestion and transformation as it applies to data validation and analysis  Provide quality assurance support using tools like Excel, SharePoint, Power BI, and Tableau  Streamlines internal processes focusing on organization support using tools like Excel, SharePoint, Power BI, and Tableau  Performs ad hoc data analysis to support programmatic questions and stakeholder requests  Works as part of a project team to determine project requirements, goals, implementation, and schedules  May provide training for internal users and customer stakeholders  Knowledge and experience with healthcare IT     REQUIRED EXPERIENCE:      5-8 years of experience in the development and implementation of large, complex, data-centric systems  3 years of experience using data management and visualization tools such as SQL, Tableau, Qlik, R, Python, SAS Viya, or Power BI  Must have ability to define and document testing criteria and scenarios  Must have analytical skills to compare and reconcile the expected versus real test results  Must be able to effectively communicate with technical teams  Excellent communication, problem solving, and customer service skills  Candidates must be able to obtain and maintain a Public Trust clearance.   Candidates must have lived in the United States 3 out of the past 5 years.      PREFERRED EXPERIENCE:     Assess/evaluate to deliver timely data analysis, and data solutions against client requirements  Ensure customer satisfaction through follow-up, client responsiveness, and thorough communication  Ability to manage multiple clients and projects/tasks simultaneously  Experience with CMS preferred.     EDUCATION &amp; CERTIFICATIONS:     Bachelorâs degree     WHAT WE OFFER:    At Sparksoft, we know that people do their best work when they feel supported, inspired, and connected. Thatâs why weâve built a workplace that balances comprehensive benefits with a culture of collaboration and innovation. From flexible time off to professional growth opportunities, weâre committed to helping you thrive both inside and outside of work. When you join Sparksoft, youâll enjoy:    Competitive compensation and a 401(k) with employer contributions to help you plan for the future  Flexible paid time off and hybrid ways of working that support true work-life balance  Comprehensive health coverageâincluding medical, dental, vision, life, and disability insurance  A curated in-office experience designed to foster community, team connections, and innovation  Opportunities to give back through Sparksoft Cares, including annual company-wide fundraising events  Training and development programs that bu",902,,,https://remoteOK.com/remote-jobs/remote-data-analyst-sparksoft-corporation-1135698,sparksoft.accommodations@sparksoftcorp.com,1135698,False,50,Partial,,none,3
ce2ae670-ee98-4bd5-bb13-f7d0211ef7b7,761391ee02ace3fc5270446a812c9132,2026-08-26,RemoteOK,Data Engineer,AI Trainer Freelance Data Annotator,Mindrift - Data annotation,Remote (USA),Not specified,,Not specified,,2026-07-30T16:00:14+00:00,"Please submit your resume in English and indicate your level of English.  At Toloka, we connect smart, curious people from around the world with freelance online tasks that train and improve artificial intelligence.   What we do  The Toloka Annotators connects individuals with Generative AI projects from leading tech innovators. Our mission is to unlock the full potential of AI by involving real people from around the world in the development process.  About the Role  Annotation is what helps AI make sense of the world. As an annotator, you may be invited to take part inÂ online projects such as rating AI-generated content, evaluating factual accuracy, or comparing responses - when projects are available.   Responsibilities:    Carefully review provided data (text, images, or videos)   Label or classify content based on project guidelines   Identify and flag factually incorrect, sensitive, inappropriate, or unclear material    Important note: This is project-based work. Tasks are availableÂ only when projects are active. You may be invited to one or more projects depending on your profile and current opportunities.  Each project has its own compensation level based on scope and expertise required. On this project, AI trainers earn up to $17 per hour equivalent. 
  Bachelorâs degree in any discipline  Minimum 1 year of experience in any professional role  Advanced level of English (C1 or higher), both written and spoken  Logical thinking, fact-checking and reasoning abilities   Strong attention to detail and ability to understand and follow complex instructions   Strong communication skills, including the ability to ask clarifying questions when needed   Genuine interest in technology and artificial intelligence  
 Why this freelance opportunity might be a great fit for you?    Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments.  Work on advanced AI projects and gain valuable experience that enhances your portfolio.  Influence how future AI models understand and communicate in your field of expertise.    Please mention the word **ATTRACTIVE** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",354,,,https://remoteOK.com/remote-jobs/remote-ai-trainer-freelance-data-annotator-mindrift-data-annotation-1135680,,1135680,False,50,Partial,,none,3
1a26fa02-bd27-44e8-923d-75ef9139001e,f09641a753eef5f8dfc468c632d3ba8b,2026-08-26,RemoteOK,Data Engineer,Junior Data Analyst,HiredBuddy,"California, California, United States",Not specified,,Not specified,,2026-07-28T20:34:39+00:00,"About HiredBuddy   At  HiredBuddy , we connect domain specialists and subject-matter experts with leading AI research labs to shape and train the next generation of artificial intelligence. We focus on high-quality data annotation, RLHF (Reinforcement Learning from Human Feedback), and model evaluation across various domains, ranging from STEM and software engineering to linguistics and data science.   Position Overview   We are seeking a detail-oriented, highly analytical  Junior Data Analyst  based in the United States to join our growing remote team. In this role, you will play a crucial part in monitoring dataset quality, analyzing annotator performance metrics, optimizing labeling pipelines, and delivering insights that improve our AI training data pipelines.  This is an ideal role for an early-career analyst passionate about the intersection of data, machine learning, and AI operations.   Key Responsibilities     Data Quality Assurance:  Audit, clean, and validate large datasets generated by our network of AI trainers and domain experts to ensure high precision and adherence to guidelines.   Performance &amp; Metrics Tracking:  Analyze annotator accuracy, turnaround times, and throughput using SQL, Python, and BI dashboards to help optimize operations.   Pipeline Optimization:  Collaborate with cross-functional teams (Operations, AI Specialists, and Product) to identify bottlenecks in data labeling pipelines and recommend data-driven solutions.   Reporting &amp; Dashboards:  Build, maintain, and update daily/weekly operational reports and dashboards for internal stakeholders and client leads.   Guideline Calibration:  Analyze edge cases and error patterns in dataset outputs to help refine project annotation instructions and rubrics.    Qualifications &amp; Skills     Education:  Bachelorâs degree in Data Analytics, Computer Science, Statistics, Information Systems, or a related quantitative field (or equivalent practical experience).   Technical Skills:   Proficiency with  SQL  for data querying, aggregation, and analysis.  Practical knowledge of  Python  or  R  for data manipulation (e.g., Pandas, NumPy).  Experience with visualization tools like  Tableau, Power BI, or Looker .  Advanced Excel / Google Sheets skills (Pivot tables, VLOOKUP/XLOOKUP, complex formulas).   Analytical Mindset:  Strong problem-solving skills with a high degree of attention to detail when working with complex datasets.   Communication:  Ability to clearly translate data findings into actionable insights for non-technical team members.   Work Authorization:  Must be legally authorized to work in the United States.    Nice-to-Haves    Familiarity with  AI/ML concepts , data annotation workflows, or RLHF (Reinforcement Learning from Human Feedback).  Prior experience or internship experience in an operations-focused analyst role.    What We Offer     100% Remote Flexibility:  Work from anywhere in the US.   Cutting-Edge Industry Exposure:  Gain hands-on experience at the forefront of AI model training and evaluation.   Growth Opportunities:  Direct mentorship and opportunities to advance within a fast-growing tech environment.   Competitive Compensation:  Hourly/Salaried rate commensurate with experience.       Please mention the word **AMICABLY** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",466,,,https://remoteOK.com/remote-jobs/remote-junior-data-analyst-hiredbuddy-1135673,,1135673,False,50,Partial,,none,3
a594b601-d176-4e92-b7b2-bac9b79f9958,8000cfc0b0054e6b4c5d72bed707494f,2026-08-26,RemoteOK,Data Engineer,Data Analyst,YO AI Labs,"San Francisco, San Francisco, California, United States",Not specified,,Not specified,,2026-07-28T02:20:27+00:00,"Job Title:  Data Analyst (Excel)   Job Type:  Contractor   Location:  Remote   Job Summary:  In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required â your domain knowledge is what matters.   Key Responsibilities:     Conduct in-depth data analysis using Microsoft Excel to extract actionable insights and support decision-making across teams.  Collaborate with project stakeholders to understand data requirements and translate them into meaningful analyses.  Review, clean, and validate datasets to ensure accuracy, consistency, and integrity.  Develop clear, concise reports and visualizations to communicate findings to both technical and non-technical audiences.  Identify trends, anomalies, and opportunities in complex datasets, contributing to strategic initiatives.  Document methodologies, results, and recommendations with meticulous attention to detail.  Contribute expertise to enhance data-driven decision-making processes within the customer's team.      Required Skills and Qualifications:     Proven experience performing data analysis in a business environment using Microsoft Excel as the primary tool.  Exceptional attention to detail and accuracy in data processing and reporting.  Strong written and verbal communication skills, with the ability to clearly articulate analytical findings.  Demonstrated ability to work collaboratively across teams to drive business outcomes.  Solid understanding of Excel functions, formulas, and data visualization tools.  Proficiency in identifying data inconsistencies and implementing corrective measures.  Experience working in fast-paced, data-driven organizations.      Preferred Qualifications:     Experience supporting cross-functional teams with data insights to inform business strategy.  Background in presenting analytical outcomes to diverse audiences.  Familiarity with additional data analysis tools or business intelligence platforms.     Please mention the word **PROSPER** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",299,,,https://remoteOK.com/remote-jobs/remote-data-analyst-yo-ai-labs-1135558,,1135558,False,50,Partial,,none,3
2196acbb-d7b9-4c0a-80ee-93a1b2a761a0,67f02786898fd11641bb5611f0994dba,2026-08-26,RemoteOK,Data Engineer,Safety Data Analyst,SkyWest Airlines,"Salt Lake City Metropolitan Area, ",Not specified,,Not specified,,2026-07-24T02:34:49+00:00,"About SkyWest    With over 16,000 aviation professionals operating thousands of daily flights, SkyWest Airlines connects millions of passengers each month to hundreds of destinations across North America. SkyWest operates in partnership with Delta Air Lines, United Airlines, American Airlines, and Alaska Airlines and has a fleet of nearly 450 aircraft. Headquartered in St. George, Utah, SkyWest's industry-leading workforce and excellent leadership team have consistently generated solid operational and economic performance, setting the standard for excellence in the regional industry.    SkyWest employees enjoy a distinctive and unmatched culture of teamwork, respect, quality, and professionalism, along with world-class benefits such as a 401(k) match, Performance Rewards, health care, retirement, and discounted travel worldwide.    Primary Job Duties     Analyze, compile, and report safety data to support all SkyWest safety programs.   Collect, analyze, and report safety assurance data from multiple safety data sources.   Identify, monitor, and communicate safety performance trends and emerging risks.   Track, maintain, and report key performance indicators (KPIs) for the Safety Department, including Flight Severity Index (FSI) events.   Present data analysis findings in safety meetings, investigations, and Safety Risk Assessments (SRAs).   Provide safety data reports and analysis for:   Partner safety metric reporting   Internal and external safety meetings   Pattern and trend analysis for Department Safety Managers and Safety Committees   Ad hoc reporting supporting investigations and proactive risk assessments   Maintain process measurement data and performance metrics for Safety Managers.   Create, update, and maintain Tableau dashboards and other reporting tools to support safety initiatives.   Support data-driven decision-making through proactive analysis of safety risks and operational trends.   Recognize and report hazards in the work environment through established safety reporting programs.   Ensure the accuracy, integrity, and timely delivery of safety data and reports.      Compensation: The salary range for this position is $37,000-$52,000 per year. Initial offers will be based on a combination of relevant work experience, education, certifications, and formal training.    Minimum Requirements     Qualified through education, training, experience, and expertise to perform data analysis functions.   Formal education in data analytics, statistics, quantitative methods, data collection, data interpretation, and analytical techniques; and/or a professional data analyst certification.   Two years of experience as a Data Analyst or in a related analytical role.   Excellent verbal and written communication, presentation, and interpersonal skills.   Ability to communicate complex data findings to leadership and business stakeholders.   Ability to work effectively in a collaborative team environment.   Ability to manage multiple projects simultaneously and prioritize competing deadlines.   Highly proficient in Microsoft Excel and experienced with the Microsoft Office Suite.   Demonstrated attention to detail and commitment to data accuracy.   Proficiency in Tableau, including dashboard development and maintenance.      Preferred Qualifications     Experience with aviation safety assurance programs, such as ASAP, FOQA, and LOSA.   Experience with Excellence through Quality (EtQ) Reliance software.   Experience working within an Aviation Safety Management System (SMS).   Knowledge of Federal Aviation Regulations (FARs) and company policies and procedures.   Experience analyzing operational, safety, or risk-management data.   Experience collecting, analyzing, and interpreting large datasets to identify trends, risks, and performance indicators.      Physical And Other Requirements     Open to remote work or based in SGU or SLC.   Ability to sit for extended periods while working at a computer.   Ability to travel occasionally as required.   This is not a Department of Transportation safety-sensitive position.     Please complete the online application. Top candidates will be contacted for an interview  Please mention the word **FAVORED** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",580,,,https://remoteOK.com/remote-jobs/remote-safety-data-analyst-skywest-airlines-1135445,,1135445,False,50,Partial,,none,3
8ef61786-46cc-4154-8b45-a0ffd647bcd0,5dd30cf17078dd941351d0ace92f1eb1,2026-08-26,RemoteOK,Data Engineer,Data Entry Specialist,Morgan McKinley,Remote (USA),Not specified,,Not specified,,2026-07-23T09:09:33+00:00,Posted 3:00:05 PM. Healthcare AI Data SpecialistRemote | 6 Month Contract | $24â$26/hour | Full-Time (40 hrs/week)Weâ¦See this and similar jobs on LinkedIn.  Please mention the word **UNQUESTIONABLY** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,66,,,https://remoteOK.com/remote-jobs/remote-data-entry-specialist-morgan-mckinley-1135273,,1135273,False,50,Partial,,none,3
26bba386-dabf-46a4-a56b-008fa96895ef,4e390d1ab7bf9bab29d5dc44e84da8a1,2026-08-26,RemoteOK,Data Engineer,Data Analyst Assistant,Blue Oak Consulting,"Roma, Roma, Lazio, Italia",Not specified,,Not specified,,2026-07-21T11:05:13+00:00,"We are adding a Data Analyst Assistant to the team to support a large scale engagement with an established Italian infrastructure group. This position focuses on interrogating financial assumptions and identifying discrepancies in complex portfolios to ensure our partner makes decisions based on hard evidence rather than corporate narratives.     About Blue Oak Consulting   Blue Oak Consulting provides independent advisory on pricing, portfolio economics, capital allocation, and acquisition assumptions. We are not a traditional consulting firm focused on broad transformation programs or high level strategy decks. Instead, we interrogate specific commercial decisions where the financial stakes are high and the existing narrative is not sufficient. Our team looks past corporate language and P&amp;L complexity to identify where value is leaking or capital is trapped. We work across sectors like software, manufacturing, and healthcare to test whether the assumptions behind a growth plan or an acquisition actually hold under pressure. We are a small, principal led firm where the people who do the work are the ones accountable for the results. We do not take transaction contingent fees, which allows us to be completely honest about whether the economics of a decision make sense. Our goal is to provide clarity through financial discipline and a healthy amount of skepticism.     The Role   This is a full time, permanent position that is conducted entirely in a remote environment. You will work closely with our principals to dig into the numbers provided by our partners, often starting with the Italian infrastructure project. The goal is to move past P&amp;L complexity and find where value might be leaking. You will be expected to think critically and ask why certain numbers exist high up in a spreadsheet, rather than just accepting them as facts. This role offers an attractive and competitive compensation package for an entry level professional looking to gain deep experience in financial analysis.     What You Will Be Doing    Cleaning and organizing large datasets from various sources to build a clear financial picture.   Testing the logic behind pricing assumptions to see if they survive real world friction.   Helping build financial models that track capital allocation across different infrastructure assets.   Identifying outliers and anomalies in expenditure reports that do not align with the stated narrative.   Updating portfolio economics trackers to reflect new acquisition data.   Collaborating with the team through virtual channels to clarify findings and refine analysis.   Preparing clear summaries of data trends that highlight potential financial risks.   Verifying the accuracy of inputs used in growth forecasts for specific business units.   Assisting in the interrogation of acquisition assumptions for new investment opportunities.      What You Bring    A degree or background in finance, economics, mathematics, or a related field with a heavy emphasis on data.   Strong proficiency in Microsoft Excel, including the ability to manage complex formulas and large tables.   A skeptical mindset that enjoys finding inconsistencies in spreadsheets and reports.   Comfort working in a fully remote setting where communication is largely written and specific.   Ability to organize messy data into structured formats without losing important context.   Interest in how large businesses actually spend money and allocate internal capital.   Reliability and a willingness to learn how to scrutinize financial statements at a deep level.   Strong attention to detail, especially when reviewing line items that seem out of place.      What We Offer    A fully remote work schedule that provides flexibility and removes the need for a daily commute.   Direct access to firm principals who provide mentorship and clear feedback on your work.   The opportunity to work on high stakes projects, such as our current work with the Italian infrastructure group.   A professional environment focused on logic and evidence rather than corporate politics.   Practical training in financial modeling and capital allocation analysis.   A permanent, stable role within a firm that values individual accountability and results.       At Blue Oak Consulting, we believe that clarity comes from discipline and a healthy amount of skepticism. We stay through the execution phase of our projects because we know that decisions looking sound in theory often face challenges once they meet reality. This role is a starting point for someone who wants to understand the mechanics of how value is created and protected in large organizations. We value the work over the performance, and we look for assistants who are eager to show how the numbers actually add up without relying on corporate jargon.  Please mention the word **STAUNCHLY** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature ",762,,,https://remoteOK.com/remote-jobs/remote-data-analyst-assistant-blue-oak-consulting-1135326,,1135326,False,50,Partial,,none,3
dfa8bca7-65e7-4dab-98f4-635b046220a9,29c3607bc306a53b2b25359635072d1f,2026-08-26,RemoteOK,Data Engineer,Data Analyst Healthcare,City of Hope,"United States, ",Not specified,,Not specified,,2026-07-13T06:07:18+00:00,"Posted 1:14:33 AM. Join the transformative team at City of Hope, where we're changing lives and making a realâ¦See this and similar jobs on LinkedIn.  Please mention the word **HAPPINESS** and tag RNTIuMTczLjE2Mi4xMDM= when applying to show you read the job post completely (#RNTIuMTczLjE2Mi4xMDM=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",68,,,https://remoteOK.com/remote-jobs/remote-data-analyst-healthcare-city-of-hope-1134759,,1134759,False,50,Partial,,none,3
